Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Ich weiß es. Du würdest mich vergessen.	Ich ___ es. Du ___ mich vergessen.	Ich <span class="learn">weiß</span> es. Du <span class="learn">würdest</span> mich vergessen.	I know it. Youd forgotten me.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>es.</td><td></td><td>it .</td></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>würdest</td><td></td><td>would</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>vergessen.</td><td>forgetting </td><td>forget .</td></tr></table>	[sound:lola-003213371-003217741.mp4]
Nee.	___	<span class="learn">Nee.</span>	Nope .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Nee.</td><td>Nah! </td><td>Nope .</td></tr></table>	[sound:lola-003218212-003219081.mp4]
Doch. Sonst kannst du gar nicht weiterleben.	Doch. ___ ___ du ___ nicht weiterleben.	Doch. <span class="learn">Sonst</span> <span class="learn">kannst</span> du <span class="learn">gar</span> nicht weiterleben.	Yet . Otherwise you can not continue to live .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Doch.</td><td>Sot! [Scot.] [on the contrary] // Yes, (I do / did / have / had / am / was / will / would / shall / should / can / could / may / might!) [contradicting a negative question] </td><td>Yet .</td></tr><tr><td>Sonst</td><td></td><td>otherwise</td></tr><tr><td>kannst</td><td></td><td>can</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>gar</td><td>cooked // done  [fully cooked] </td><td>even</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>weiterleben.</td><td></td><td>live on.</td></tr></table>	[sound:lola-003219082-003222128.mp4]
Klar, würdest du trauern. Die ersten Wochen bestimmt.	___ ___ du trauern. Die ersten Wochen bestimmt.	<span class="learn">Klar,</span> <span class="learn">würdest</span> du trauern. Die ersten Wochen bestimmt.	Sure, you would grieve. The first few weeks determined.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Klar,</td><td></td><td>clear</td></tr><tr><td>würdest</td><td></td><td>would</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>trauern.</td><td>grieving // mourning // sorrowing </td><td>mourn.</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>ersten</td><td></td><td>first</td></tr><tr><td>Wochen</td><td></td><td>weeks</td></tr><tr><td>bestimmt.</td><td></td><td>determined.</td></tr></table>	[sound:lola-003222922-003225351.mp4]
Ist ja auch nicht schlecht. Alle sind total mitfühlend und echt betroffen und...	Ist ja auch nicht schlecht. Alle ___ total mitfühlend und ___ betroffen und...	Ist ja auch nicht schlecht. Alle <span class="learn">sind</span> total mitfühlend und <span class="learn">echt</span> betroffen und...	It really is not bad. All are totally and genuinely concerned and compassionate ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ist</td><td></td><td>is</td></tr><tr><td>ja</td><td>aye-aye // certainly // indeed // surely // yea  [archaic or formal] // yeh [coll.] [yes] // yes // yup [Am.] [coll.] [yes] </td><td>yes</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>schlecht.</td><td></td><td>bad.</td></tr><tr><td>Alle</td><td></td><td>All</td></tr><tr><td>sind</td><td></td><td>are</td></tr><tr><td>total</td><td>absolutely // all-out // clean // complete  [failure, beginner, disaster, flop, victory] // dead // downright // out-and-out // outright  [total] // plumb  [coll.] // stone [sl.] [absolutely] // total // totes [coll.] [totally] // unmitigated  [disaster, failure etc.] // utterly </td><td>totally</td></tr><tr><td>mitfühlend</td><td>caring // compassionate // compassionately // empathetic // empathic // feelingly [compassionately] // soft [empathetic] // sympathetic // sympathetical // sympathetically </td><td>sympathetic</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>echt</td><td>authentic // bona fide // dinkum [Aus.] [NZ] [coll.] // echt // for real  [coll.] // genuine // genuinely // legit  [coll. short for legitimate] // lifelike // proper // properly // pukka  [coll.] // pure // real  [flowers, leather, silk, gold] // substantial // true-blue // true-born // true-bred // true [real, genuine] // truly // unfeigned // veritable // warranted </td><td>real</td></tr><tr><td>betroffen</td><td>affected [concerned, shocked] // afflicted // concerned // hit [affected] // impacted [affected] // in question [postpos.] // pertained </td><td>affected</td></tr><tr><td>und...</td><td>and all </td><td>and ...</td></tr></table>	[sound:lola-003225353-003230164.mp4]
Alles ist so unendlich traurig und... du kannst am Anfang nur tierisch leid tun.	___ ist so unendlich traurig und... du ___ am Anfang ___ tierisch leid ___	<span class="learn">Alles</span> ist so unendlich traurig und... du <span class="learn">kannst</span> am Anfang <span class="learn">nur</span> tierisch leid <span class="learn">tun.</span>	Everything is so infinitely sad and ... you can only do animal suffering in the beginning.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Alles</td><td></td><td>Everything</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>unendlich</td><td>boundless // endless // endlessly // indefinitely // infinite // infinitely // limitless // never-ending // nonfinite // nonterminating // unending // unendingly // unlimited // unstintingly  [generous] </td><td>infinitely</td></tr><tr><td>traurig</td><td>blue  [fig.] // cloudy [fig.] [sad] // desolate // doleful // dolefully // dolorous // funereal // funereally // gloomy // lugubrious // lugubriously // mournful // mournfully // pathetical // plaintive // plaintively // sad // saddened // sadly // sobby [very sad] // somberly [Am.] // somber  [Am.]  [message, news] // sombrely [Br.] // sombre  [Br.]  [message, news] // sorrowful // sorrowfully // sorry [sad] // tearily // unhappy // upset [unhappy, sad] // woeful // woefully </td><td>sad</td></tr><tr><td>und...</td><td>and all </td><td>and ...</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>kannst</td><td></td><td>can</td></tr><tr><td>am</td><td></td><td>on</td></tr><tr><td>Anfang</td><td></td><td>top</td></tr><tr><td>nur</td><td>as little as // but [only] // just  [only] // mere // merely // nobbut [Br.] [dial.] // no better than // no more than // none but // nothing but // only // solely </td><td>only</td></tr><tr><td>tierisch</td><td>animal-like // animal // animalic  [rare] // animalistic // animally // beastly // bestial // bestially // brutal // brutish </td><td>animal</td></tr><tr><td>leid</td><td>sorry </td><td>sorry</td></tr><tr><td>tun.</td><td></td><td>do .</td></tr></table>	[sound:lola-003230333-003234472.mp4]
Dann kannst du allen zeigen, wie stark du bist. Was für 'ne tolle Frau werden Die dann sagen.	Dann ___ du ___ zeigen, wie stark du bist. Was ___ 'ne tolle ___ ___ Die dann sagen.	Dann <span class="learn">kannst</span> du <span class="learn">allen</span> zeigen, wie stark du bist. Was <span class="learn">für</span> 'ne tolle <span class="learn">Frau</span> <span class="learn">werden</span> Die dann sagen.	Then you can show everyone how strong you are . What will be said for the  ne great woman.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dann</td><td></td><td>then</td></tr><tr><td>kannst</td><td></td><td>can</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>allen</td><td></td><td>all</td></tr><tr><td>zeigen,</td><td></td><td>show</td></tr><tr><td>wie</td><td>as per // as // how // in common with // in the manner of // like // such as </td><td>as</td></tr><tr><td>stark</td><td>badly // but good [Am.] // intense // intensive // keenly  [intensely, acutely] // massive // potent [strong] // powerful // powerfully // robust // strong // strongly // vigorously </td><td>strong</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>bist.</td><td></td><td>are.</td></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>für</td><td>for // per // pro </td><td>for</td></tr><tr><td>'ne</td><td></td><td>ne</td></tr><tr><td>tolle</td><td></td><td>great</td></tr><tr><td>Frau</td><td></td><td>woman</td></tr><tr><td>werden</td><td>to come [to become or seem to become] // to get [become, e.g. tired] // to grow [become gradually, e.g. old] </td><td>will</td></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>sagen.</td><td>saying // telling [saying] </td><td>say.</td></tr></table>	[sound:lola-003235653-003240769.mp4]
Die reißt sich echt am Riemen und ist nicht hysterisch und heult den ganzen Tag rum oder so	Die reißt ___ ___ am Riemen und ist nicht hysterisch und heult den ganzen ___ ___ ___ so	Die reißt <span class="learn">sich</span> <span class="learn">echt</span> am Riemen und ist nicht hysterisch und heult den ganzen <span class="learn">Tag</span> <span class="learn">rum</span> <span class="learn">oder</span> so	The tears are real and the belt is not hysterical , howling around all day or so	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>reißt</td><td></td><td>tears</td></tr><tr><td>sich</td><td>oneself // yourselves [direct / indirect object] [formal] </td><td>themselves</td></tr><tr><td>echt</td><td>authentic // bona fide // dinkum [Aus.] [NZ] [coll.] // echt // for real  [coll.] // genuine // genuinely // legit  [coll. short for legitimate] // lifelike // proper // properly // pukka  [coll.] // pure // real  [flowers, leather, silk, gold] // substantial // true-blue // true-born // true-bred // true [real, genuine] // truly // unfeigned // veritable // warranted </td><td>real</td></tr><tr><td>am</td><td></td><td>on</td></tr><tr><td>Riemen</td><td></td><td>belt</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>hysterisch</td><td>hysteric // hysterical // hysterically </td><td>hysterical</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>heult</td><td>hoots </td><td>howls</td></tr><tr><td>den</td><td>that one [masculine direct object] // the // this one [masculine direct object] // this {determiner} [masculine direct object] // whom </td><td>the</td></tr><tr><td>ganzen</td><td></td><td>whole</td></tr><tr><td>Tag</td><td></td><td>day</td></tr><tr><td>rum</td><td></td><td>rum</td></tr><tr><td>oder</td><td></td><td>or</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr></table>	[sound:lola-003240905-003244495.mp4]
Und dann kommt auf einmal dieser unglaublich nette Typ mit den grünen Augen.	Und dann ___ auf ___ ___ unglaublich nette ___ mit den grünen Augen.	Und dann <span class="learn">kommt</span> auf <span class="learn">einmal</span> <span class="learn">dieser</span> unglaublich nette <span class="learn">Typ</span> mit den grünen Augen.	And then suddenly this incredibly nice guy with the green eyes .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>kommt</td><td></td><td>comes</td></tr><tr><td>auf</td><td>at // in // on top of // onto // to // up // upon </td><td>onto</td></tr><tr><td>einmal</td><td>at one point // once // onct [Am. regional: once] // one day // on one occasion // someday // some day </td><td>once</td></tr><tr><td>dieser</td><td>that // this </td><td>this</td></tr><tr><td>unglaublich</td><td>beyond belief // elusive // elusively // epic [sl.] // incredible // incredibly // mind-boggling  [coll.] // past belief // phenomenally // staggeringly // sublime [impertinence, confidence] // unbelievable // unbelievably </td><td>incredible</td></tr><tr><td>nette</td><td></td><td>nice</td></tr><tr><td>Typ</td><td></td><td>Type</td></tr><tr><td>mit</td><td>by // cum  [usually used in combination] // featuring  [having as a feature] // having // involving // withal  [postpos.]  [archaic] </td><td>with</td></tr><tr><td>den</td><td>that one [masculine direct object] // the // this one [masculine direct object] // this {determiner} [masculine direct object] // whom </td><td>the</td></tr><tr><td>grünen</td><td>to green // to turn green </td><td>green</td></tr><tr><td>Augen.</td><td>ocular // ophthalmic </td><td>Eyes.</td></tr></table>	[sound:lola-003246575-003249935.mp4]
Und der ist so super sensibel. Er hört dir den ganzen Tag zu und lässt sich	Und der ist so super sensibel. Er hört ___ den ganzen ___ zu und lässt ___	Und der ist so super sensibel. Er hört <span class="learn">dir</span> den ganzen <span class="learn">Tag</span> zu und lässt <span class="learn">sich</span>	And that is so super sensitive. Hell hear all day and can be	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>super</td><td>dope  [sl.]  [Am.] // far out // super // superdooper [coll.] </td><td>super</td></tr><tr><td>sensibel.</td><td></td><td>sensitive.</td></tr><tr><td>Er</td><td></td><td>he</td></tr><tr><td>hört</td><td></td><td>listen</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>den</td><td>that one [masculine direct object] // the // this one [masculine direct object] // this {determiner} [masculine direct object] // whom </td><td>the</td></tr><tr><td>ganzen</td><td></td><td>whole</td></tr><tr><td>Tag</td><td></td><td>day</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>lässt</td><td></td><td>can</td></tr><tr><td>sich</td><td>oneself // yourselves [direct / indirect object] [formal] </td><td>themselves</td></tr></table>	[sound:lola-003250006-003253655.mp4]
so richtig schön von dir voll labern Dem erzählst du, wie schwer du's gerade hast.	so richtig ___ ___ ___ ___ labern ___ erzählst du, wie schwer du's ___ ___	so richtig <span class="learn">schön</span> <span class="learn">von</span> <span class="learn">dir</span> <span class="learn">voll</span> labern <span class="learn">Dem</span> erzählst du, wie schwer du's <span class="learn">gerade</span> <span class="learn">hast.</span>	really nice of you stop talking to the you tell how hard you have it straight.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>richtig</td><td>accurate // all right // appropriate // aright // correct // correctly // duly // exact // justly // O.K. // okay  [coll.] // OK  [coll.] // proper // properly // real // right // rightfully // rightly // true // unmitigated </td><td>properly</td></tr><tr><td>schön</td><td>aesthetic // beauteously // beauteous  [poet.] // beautiful // beautifully // bonny // braw [Scot.] // fair  [archaic] // fine // goodly // good  [enjoyable] // handsome // lovely // neat // nice // nicely // pleasant // pretty // pulchritudinous  [literary] // purty  [dialect] </td><td>beautiful</td></tr><tr><td>von</td><td>by // from // off // of </td><td>from</td></tr><tr><td>dir</td><td>thee [poet., archaic] [indirect object] // ye [archaic, poet.] // you [indirect object] [informal] </td><td>you</td></tr><tr><td>voll</td><td>full // full up // mellow  [sound] // plenteously // replete </td><td>fully</td></tr><tr><td>labern</td><td></td><td>blabber</td></tr><tr><td>Dem</td><td></td><td>the</td></tr><tr><td>erzählst</td><td></td><td>tell</td></tr><tr><td>du,</td><td></td><td>you ,</td></tr><tr><td>wie</td><td>as per // as // how // in common with // in the manner of // like // such as </td><td>as</td></tr><tr><td>schwer</td><td>weighty // with difficulty </td><td>heavy</td></tr><tr><td>du's</td><td></td><td>you s</td></tr><tr><td>gerade</td><td>direct // directly // right // straight // straightly </td><td>just</td></tr><tr><td>hast.</td><td></td><td>have .</td></tr></table>	[sound:lola-003253656-003258869.mp4]
